Crop,Disease,Pathogen,Symptoms,Recommended_Medicine,Application_Notes,Severity
Cotton,Leaf Curl,Begomovirus,Leaf curling,Imidacloprid,Follow recommended dosage,Mild
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Follow recommended dosage,Mild
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Spray at early stage,Moderate
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Follow recommended dosage,Moderate
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Spray at early stage,Mild
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Apply during high humidity,Severe
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Repeat every 7-10 days,Mild
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Use preventive spray,Severe
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Repeat every 7-10 days,Severe
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Spray at early stage,Severe
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Apply during high humidity,Moderate
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Apply during high humidity,Mild
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Follow recommended dosage,Severe
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Repeat every 7-10 days,Moderate
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Use preventive spray,Moderate
Chili,Anthracnose,Colletotrichum capsici,Sunken fruit lesions,Carbendazim,Use preventive spray,Mild
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Spray at early stage,Severe
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Follow recommended dosage,Moderate
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Use preventive spray,Moderate
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Repeat every 7-10 days,Severe
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Use preventive spray,Mild
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Spray at early stage,Mild
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Follow recommended dosage,Severe
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Spray at early stage,Moderate
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Use preventive spray,Severe
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Apply during high humidity,Moderate
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Repeat every 7-10 days,Moderate
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Apply during high humidity,Severe
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Repeat every 7-10 days,Mild
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Follow recommended dosage,Mild
Chili,Powdery Mildew,Leveillula taurica,White leaf powder,Sulfur,Apply during high humidity,Mild
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Follow recommended dosage,Severe
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Spray at early stage,Mild
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Spray at early stage,Severe
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Spray at early stage,Moderate
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Apply during high humidity,Moderate
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Follow recommended dosage,Moderate
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Apply during high humidity,Severe
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Use preventive spray,Severe
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Apply during high humidity,Mild
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Repeat every 7-10 days,Moderate
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Repeat every 7-10 days,Mild
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Use preventive spray,Moderate
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Use preventive spray,Mild
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Follow recommended dosage,Mild
Chili,Leaf Curl,Begomovirus,Distorted leaves,Thiamethoxam,Repeat every 7-10 days,Severe
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Apply during high humidity,Mild
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Spray at early stage,Severe
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Follow recommended dosage,Severe
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Repeat every 7-10 days,Moderate
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Spray at early stage,Mild
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Follow recommended dosage,Moderate
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Follow recommended dosage,Severe
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Follow recommended dosage,Mild
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Repeat every 7-10 days,Mild
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Apply during high humidity,Moderate
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Spray at early stage,Mild
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Spray at early stage,Severe
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Apply during high humidity,Mild
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Use preventive spray,Mild
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Repeat every 7-10 days,Severe
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Use preventive spray,Severe
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Repeat every 7-10 days,Moderate
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Spray at early stage,Moderate
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Apply during high humidity,Severe
Banana,Panama Disease,Fusarium oxysporum,Wilting and yellowing,Carbendazim,Use preventive spray,Moderate
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Spray at early stage,Mild
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Spray at early stage,Moderate
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Use preventive spray,Severe
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Use preventive spray,Mild
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Follow recommended dosage,Severe
